oss,xdate,SITE_ID,yesterdayName,todayName,cellname,MRBTS,lnbts,LNCEL,earfcnDL,dlchbw,pMax,remark
KLM,2019-09-04,17MTP074,L_RANTAU_NANGKA_ST3_O_XXX,L_RANTAU_NANGKA_ST3_O_XYX,L_RANTAU_NANGKA_ST3_O_XYX,73302,73302,3,1625,150,448,newXYX
KLM,2019-09-04,17TJL020,L_PADANG_PANJANG_TBL_PL1_O_XXX,L_PADANG_PANJANG_TBL_PL1_O_XYX,L_PADANG_PANJANG_TBL_PL1_O_XYX,73303,73303,1,1625,150,448,newXYX
KLM,2019-09-04,17TJL020,L_PADANG_PANJANG_TBL_PL2_O_XXX,L_PADANG_PANJANG_TBL_PL2_O_XYX,L_PADANG_PANJANG_TBL_PL2_O_XYX,73303,73303,2,1625,150,448,newXYX
KLM,2019-09-04,17TJL020,L_PADANG_PANJANG_TBL_PL3_O_XXX,L_PADANG_PANJANG_TBL_PL3_O_XYX,L_PADANG_PANJANG_TBL_PL3_O_XYX,73303,73303,3,1625,150,448,newXYX
KLM,2019-09-04,17MTP029,E_KOMP_ASRAMA_HAJI1,E_KOMP_ASRAMA_HAJI1_O_XYX,E_KOMP_ASRAMA_HAJI1_O_XYX,73530,73530,1,476,50,430,newXYX
KLM,2019-09-04,17MTP029,E_KOMP_ASRAMA_HAJI2,E_KOMP_ASRAMA_HAJI2_O_XYX,E_KOMP_ASRAMA_HAJI2_O_XYX,73530,73530,2,476,50,430,newXYX
KLM,2019-09-04,17MTP029,E_KOMP_ASRAMA_HAJI3,E_KOMP_ASRAMA_HAJI3_O_XYX,E_KOMP_ASRAMA_HAJI3_O_XYX,73530,73530,3,476,50,430,newXYX
KLM,2019-09-04,17BBR006,E_PSR_BANJARBARU1,E_PSR_BANJARBARU1_O_XYX,E_PSR_BANJARBARU1_O_XYX,73531,73531,1,476,50,430,newXYX
KLM,2019-09-04,17BBR006,E_PSR_BANJARBARU2,E_PSR_BANJARBARU2_O_XYX,E_PSR_BANJARBARU2_O_XYX,73531,73531,2,476,50,430,newXYX
KLM,2019-09-04,17BBR006,E_PSR_BANJARBARU3,E_PSR_BANJARBARU3_O_XYX,E_PSR_BANJARBARU3_O_XYX,73531,73531,3,476,50,430,newXYX
KLM,2019-09-04,17BBR020,E_KOMP_WALI_KOTA1,E_KOMP_WALI_KOTA1_O_XYX,E_KOMP_WALI_KOTA1_O_XYX,73539,73539,1,476,50,430,newXYX
KLM,2019-09-04,17BBR020,E_KOMP_WALI_KOTA2,E_KOMP_WALI_KOTA2_O_XYX,E_KOMP_WALI_KOTA2_O_XYX,73539,73539,2,476,50,430,newXYX
KLM,2019-09-04,17BBR020,E_KOMP_WALI_KOTA3,E_KOMP_WALI_KOTA3_O_XYX,E_KOMP_WALI_KOTA3_O_XYX,73539,73539,3,476,50,430,newXYX
KLM,2019-09-04,17MTP026,E_BUMI_PERMATA_HIJAU1,E_BUMI_PERMATA_HIJAU1_O_XYX,E_BUMI_PERMATA_HIJAU1_O_XYX,73577,73577,1,476,50,430,newXYX
